"X","image_name","x","y","frame_number","sequence_id","number_of_points","DateTimeOriginal","PixelXDimension","PixelYDimension","Type","species","old_seq_id","Location_ID","name","deployment","ImageHeight","ImageWidth","Location.ID","radius","angle","frame_count","Sequence.number","pixdiff","dist","timediff","time","speed","frames"
17,"EECEP_Sum2024_AK-10_IMG_0808_21_02_2024_11_39_13.jpg",2902.455456,1295.312542,0,10002,9,"2024:02:21 11:39:13",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",12.8428963539497,0.220219600970978,1,10002,2642.22304786455,7.87152864554787,4426,4426,0.00177847461490011,9
1113,"EECEP_Sum2024_AK26_IMG_0113_14_02_2024_18-38_29.jpg",2026.894835,2057.066667,0,10077,20,"2024:02:14 18:38:29",3712,2088,"Movement","Hog_deer",643,"AK26","Hog_deer","AK26",2088,3712,"AK26",3.15515006578048,0.035963683075012,7,10077,1190.57028195204,3.97246211569487,13,13,0.305574008899606,20
1137,"EECEP_Sum2024_AK26_IMG_0143_16_02_2024_21-33_00.jpg",2264.050391,2077.688889,30,10087,17,"2024:02:16 21:33:00",3712,2088,"Movement","Sambar",648,"AK26","Sambar","AK26",2088,3712,"AK26",3.08927580727796,0.0858714948322384,4,10087,1999.27786054234,4.29382634963452,11,11,0.390347849966775,17
1160,"EECEP_Sum2024_AK26_IMG_0198_16_02_2024_21-34_11.jpg",411.4514325,1796.416605,85,10101,16,"2024:02:16 21:34:11",3712,2088,"Movement","Sambar",655,"AK26","Sambar","AK26",2088,3712,"AK26",4.12149577633872,-0.303995652460957,1,10101,3358.97214814674,6.44913623427907,11,11,0.586285112207188,16
1180,"EECEP_Sum2024_AK26_IMG_0223_19_02_2024_19-24_07.jpg",1633.685689,1206.299125,110,10111,24,"2024:02:19 19:24:07",3712,2088,"Movement","Hog_deer",660,"AK26","Hog_deer","AK26",2088,3712,"AK26",8.80214390271038,-0.0467845703109965,1,10111,1813.50389853841,5.70651084402505,25,25,0.228260433761002,24
1059,"EECEP_Sum2024_AK26_IMG_1517_23_03_2024_17-33_29.jpg",3368.258778,1217.247642,752,10118,9,"2024:03:23 17:33:29",3712,2088,"Movement","Indian_jackal",664,"AK26","Indian_jackal","AK26",2088,3712,"AK26",7.6848021067907,0.318244816582063,8,10118,3375.69530997431,9.55997844937848,6,6,1.59332974156308,9
1068,"EECEP_Sum2024_AK26_IMG_1522_23_03_2024_17-33_34.jpg",3306.39219,985.2476422,757,10120,15,"2024:03:23 17:33:34",3712,2088,"Movement","Indian_jackal",665,"AK26","Indian_jackal","AK26",2088,3712,"AK26",13.3255937957232,0.305225404007281,1,10120,2107.91879606452,30.7769129633096,9,9,3.41965699592328,15
1105,"EECEP_Sum2024_AK26_IMG_1977_06_04_2024_17-21_10.jpg",2978.765948,1021.332791,1212,10138,5,"2024:04:06 17:21:10",3712,2088,"Movement","Yellow_throated_marten",674,"AK26","Yellow_throated_marten","AK26",2088,3712,"AK26",12.3608719392373,0.236278637217371,5,10138,1793.21542297112,10.5318822569476,2,2,5.26594112847382,5
1378,"EECEP_Sum2024_AK29_IMG_2315_27_02_2024_21-52_31.jpg",1975.33928,1941.300939,0,10143,5,"2024:02:27 21:52:31",3712,2088,"Movement","Hog_deer",773,"AK29","Hog_deer","AK29",2088,3712,"AK29",3.23553029016891,0.0251141589172084,1,10143,1889.36817992382,2.53129512917634,3,3,0.84376504305878,5
1324,"EECEP_Sum2024_AK29_IMG_3040_04_03_2024_22-19_58.jpg",3473.187849,1537.386738,0,10146,15,"2024:03:04 22:19:58",3712,2088,"Movement","Malayan_porcupine",775,"AK29","Malayan_porcupine","AK29",2088,3712,"AK29",4.71803876647282,0.340326442716635,3,10146,3139.40294909415,5.19256983756028,12,12,0.432714153130024,15
1342,"EECEP_Sum2024_AK29_IMG_3060_04_03_2024_22-20_16.jpg",1402.991875,923.3456482,20,10148,8,"2024:03:04 22:20:16",3712,2088,"Movement","Malayan_porcupine",776,"AK29","Malayan_porcupine","AK29",2088,3712,"AK29",31.2318730657598,-0.0953325513781936,5,10148,676.788518127137,10.3110293109228,2,2,5.15551465546138,5
1348,"EECEP_Sum2024_AK29_IMG_3078_06_03_2024_00-21_10.jpg",1701.240447,908.4597934,38,10152,5,"2024:03:06 00:21:10",3712,2088,"Movement","Indian_jackal",778,"AK29","Indian_jackal","AK29",2088,3712,"AK29",33.063254688996,-0.0325681201361207,3,10152,1640.22802402621,20.8681627441208,3,3,6.95605424804027,5
1356,"EECEP_Sum2024_AK29_IMG_5387_08_03_2024_18-15_15.jpg",298.3420235,1083.705558,52,10160,13,"2024:03:08 18:15:15",3712,2088,"Movement","Malayan_porcupine",782,"AK29","Malayan_porcupine","AK29",2088,3712,"AK29",14.9731170682667,-0.327798776400179,11,10160,3617.43657262347,14.5376735199252,12,12,1.2114727933271,13
1369,"EECEP_Sum2024_AK29_IMG_5402_08_03_2024_18-16_24.jpg",508.8704276,1101.249592,67,10162,5,"2024:03:08 18:16:24",3712,2088,"Movement","Malayan_porcupine",783,"AK29","Malayan_porcupine","AK29",2088,3712,"AK29",13.6888922595603,-0.283494471923449,1,10162,3035.43438917522,9.77084286372966,3,3,3.25694762124322,5
